author,title,review,original_title,original_review,stars,iso,version,date,deleted,has_response,product,product_id,product_name,vendor_id,store,weight,id,predicted_langs
bonqueetea,The app is convenient,"It’s straight forward and tells you when service is down. They also inform you of some deals. When I started using this I had $100 internet, but they downed my bill to be $64.  Only to be more affordable. They offered it to me.",The app is convenient,"It’s straight forward and tells you when service is down. They also inform you of some deals. When I started using this I had $100 internet, but they downed my bill to be $64.  Only to be more affordable. They offered it to me.",5.00,US,11.13.1,2023-07-24T17:43:22,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LVnhI8xovAr86CZ-nahtmdw,en
Goldie4653,App is trash,Laggy unresponsive mess.  Makes it so hard to pay a bill.,App is trash,Laggy unresponsive mess.  Makes it so hard to pay a bill.,1.00,US,11.13.1,2023-07-24T16:00:51,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LlBJMCsETJr4UfRFPqW0rlw,"en;no"
snapchat is S.P.E.D,Terrible.,"I have been using spectrum for about a year or two now, and I’ve never been impressed with how terrible the service is. The app is next to useless, meaning it’s impossible to use. Everything glitches and at least once a week I am having major issues just using the Wi-Fi. Haven’t messed with the router or the modem, they stay in the same spot. Yet somehow even after going untouched there’s always something wrong with it. I pay $95 a month for possibly the worse internet service possible. Spectrum needs to up their game cause this is not the move what do ever. 1 more wifi shot off away from losing a customer. Fix your app and fix your service. The only reason I’m even giving spectrum a star is purely because I I can’t right the review without doing so. Half of a star is more than generous. That is all.",Terrible.,"I have been using spectrum for about a year or two now, and I’ve never been impressed with how terrible the service is. The app is next to useless, meaning it’s impossible to use. Everything glitches and at least once a week I am having major issues just using the Wi-Fi. Haven’t messed with the router or the modem, they stay in the same spot. Yet somehow even after going untouched there’s always something wrong with it. I pay $95 a month for possibly the worse internet service possible. Spectrum needs to up their game cause this is not the move what do ever. 1 more wifi shot off away from losing a customer. Fix your app and fix your service. The only reason I’m even giving spectrum a star is purely because I I can’t right the review without doing so. Half of a star is more than generous. That is all.",1.00,US,11.13.1,2023-07-24T05:08:53,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L_KS4FfhQ0Ngi0sFMcXJa6g,en
Xtinatimez,Kids phishing my phone line,Horrible teaching Kim Blair/Marks,Kids phishing my phone line,Horrible teaching Kim Blair/Marks,1.00,US,11.13.1,2023-07-24T03:09:44,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L5vixDzQWoCa0cBJCN4hiag,"en;sw;ceb;de;la"
flanny330,Reliability & Easy to use,"This app is phenomenal.  It has everything you need to be able to manage your account, make changes, as well as even addd services and see what your bill will be.  Tremendous job by the creators of this app who continue to make sure Spectrum stays a fortune 50 company.",Reliability & Easy to use,"This app is phenomenal.  It has everything you need to be able to manage your account, make changes, as well as even addd services and see what your bill will be.  Tremendous job by the creators of this app who continue to make sure Spectrum stays a fortune 50 company.",5.00,US,11.13.1,2023-07-23T22:53:18,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LzQ98JIB8lJNDzUi2as9klQ,en
Fadwa23@,I like it!,It’s jut an amazing apps. Easy to get urs payment done on time and a lots more. Thanks Spectrum!,I like it!,It’s jut an amazing apps. Easy to get urs payment done on time and a lots more. Thanks Spectrum!,5.00,US,11.13.1,2023-07-23T22:05:39,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LFapUm5O_CEh6pq4t2rMEYQ,"en;af"
mary272727,Mobile,"Phone mobile data is ridiculously slow, I know I have a plan that’s cheap but there is no way it should take 10 mins to load I turn my phone off turn the cellular off and it is slow as a snail, no way it should be this way.",Mobile,"Phone mobile data is ridiculously slow, I know I have a plan that’s cheap but there is no way it should take 10 mins to load I turn my phone off turn the cellular off and it is slow as a snail, no way it should be this way.",3.00,US,11.13.1,2023-07-23T17:38:07,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L1fUCJDBnvTlsgFiG6rC8dQ,en
mrglovebox,Disappointed,"i have had different providers and by far spectrum is the worst each day there is a new problem continually buffering no connection freezing power outages, this is the worst.",Disappointed,"i have had different providers and by far spectrum is the worst each day there is a new problem continually buffering no connection freezing power outages, this is the worst.",2.00,US,11.13.1,2023-07-23T17:03:41,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838Lc4sftiX5GMqZps14SggbUg,en
Court103116,Spectrum,It’s getting better. Don’t let other people’s reviews make an impact on yours. They work with you an help when they can,Spectrum,It’s getting better. Don’t let other people’s reviews make an impact on yours. They work with you an help when they can,5.00,US,11.13.1,2023-07-23T15:47:07,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LQ1BfEA-pfizDzM4B--T36Q,en
Slarvey,Won’t Open,App won’t open just use your browser. App is awful and ONLY works on Wi-Fi,Won’t Open,App won’t open just use your browser. App is awful and ONLY works on Wi-Fi,1.00,US,11.13.1,2023-07-23T13:14:54,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LnkwiphrrsplgWG-AWlClpQ,"en;af;nl"
Short on service,Spectrum ok,Works great when it works about 1/3rd of the time we have no service,Spectrum ok,Works great when it works about 1/3rd of the time we have no service,2.00,US,11.13.1,2023-07-23T00:50:18,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LMEzpWHfyGBixA2sbto4lsQ,en
.: LoveFire :.,Bugs bugs and missing features,"Hello, 
i have some things that really need to be addressed with the app. I hope a fix can come soon. 
(1) When you managing devices and viewing your device list, there is ablity to create a pause schedule. but there is NO ability to remove a pause schedule!! please add this ability its common sense to have a remove feature if you have a add feature. 
(2) addtionally with pause schedules, please add the ability to create more then one schedule for any one device
(3) add a feature that allows you to create a notification when a specific device is being used. (connected doesnt mean its being used by a person, so this would have to be based on the amount of network activity the device is having. 
These are great features and tool to have. i hope to see them soon. the family desperate needs them, thanks you :)",Bugs bugs and missing features,"Hello, 
i have some things that really need to be addressed with the app. I hope a fix can come soon. 
(1) When you managing devices and viewing your device list, there is ablity to create a pause schedule. but there is NO ability to remove a pause schedule!! please add this ability its common sense to have a remove feature if you have a add feature. 
(2) addtionally with pause schedules, please add the ability to create more then one schedule for any one device
(3) add a feature that allows you to create a notification when a specific device is being used. (connected doesnt mean its being used by a person, so this would have to be based on the amount of network activity the device is having. 
These are great features and tool to have. i hope to see them soon. the family desperate needs them, thanks you :)",3.00,US,11.13.1,2023-07-23T00:20:56,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LKfcDGS-D9rPVL1DWvQzo5w,en
Nehekoharipa,App won’t respond.,"I downloaded the app, signed in successfully, and got the page telling me all of the things I can do. The “close” button doesn’t work, however, so I cannot get past the opening page, and the app is pretty much useless to me.",App won’t respond.,"I downloaded the app, signed in successfully, and got the page telling me all of the things I can do. The “close” button doesn’t work, however, so I cannot get past the opening page, and the app is pretty much useless to me.",1.00,US,11.13.1,2023-07-22T23:43:32,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L9DHGT9GjeV13--NI9UHb5Q,en
🖕🏻You Tube,Bad app,I cannot access my new account after moving. I can't change my account number or username or new adress . All I can do is access my old account number and address. It won't let me change my password or username. It keeps going back to the same old page telling me "You already have a username " Even after entering my account number and safety number. The website is the same way . I am not able to access my account because of a bug in the software,Bad app,I cannot access my new account after moving. I can't change my account number or username or new adress . All I can do is access my old account number and address. It won't let me change my password or username. It keeps going back to the same old page telling me "You already have a username " Even after entering my account number and safety number. The website is the same way . I am not able to access my account because of a bug in the software,1.00,US,11.13.1,2023-07-22T22:21:33,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LDm-6Cp8lXcZedRqtsKX3og,en
Wendy in Wisconsin,Clueless customer service,"I’ve been trying to get help for two weeks.  Billing , technical support,
Customer service.  All are separate services and they just keep passing you on to another service and you have to explain over and over again.  If while you are talking to them and the call drops they can’t call out to call you back.  Then you try to call back to finish the conversation and you can’t talk to the person you were talking to.  Guess what?  You have to start all over again with a new person.  I bet if they look at the notes they took down while talking to me they’ll see I was passed on to 6-9 people .  Spectrum is great for Internet but are clueless to think they can run a successful mobile company!  I need to get this straightened out so I have a phone that actually can work.  One representative told me today that they began mobile service in 2018.  That’s 5 years ago.  Give it up spectrum because we spread the word and you’re losing all of us.",Clueless customer service,"I’ve been trying to get help for two weeks.  Billing , technical support,
Customer service.  All are separate services and they just keep passing you on to another service and you have to explain over and over again.  If while you are talking to them and the call drops they can’t call out to call you back.  Then you try to call back to finish the conversation and you can’t talk to the person you were talking to.  Guess what?  You have to start all over again with a new person.  I bet if they look at the notes they took down while talking to me they’ll see I was passed on to 6-9 people .  Spectrum is great for Internet but are clueless to think they can run a successful mobile company!  I need to get this straightened out so I have a phone that actually can work.  One representative told me today that they began mobile service in 2018.  That’s 5 years ago.  Give it up spectrum because we spread the word and you’re losing all of us.",1.00,US,11.13.1,2023-07-22T19:00:13,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LwFQheXRfgtoKDq4BzbWgdg,en
Jjjjordddaaannn,Wifi,I pay 80$ for just wifi and I live in house 650 sq feet and I don’t even get service in my own bedroom let alone in my driveway when I’m in the garage . I don’t know why you charge so much when it doesn’t even work good. Other places are charging 45$ and work so much better . You guys need to figure that one out,Wifi,I pay 80$ for just wifi and I live in house 650 sq feet and I don’t even get service in my own bedroom let alone in my driveway when I’m in the garage . I don’t know why you charge so much when it doesn’t even work good. Other places are charging 45$ and work so much better . You guys need to figure that one out,3.00,US,11.13.1,2023-07-22T15:01:12,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L6JJg5yUK2qIeCQjE7BpyZg,en
FilmStudent420,I’m paying for a lack of internet,This is the very worst internet provider I’ve ever experienced in my life. I wish there was literally any other option but this is the only one in my area. There’s constant outages & ridiculous pricing for services I never get to use. I restart my router constantly hoping my phone or devices will connect. Hosting any get-together with friends is embarrassing when the smart tv or speakers just don’t work at all.,I’m paying for a lack of internet,This is the very worst internet provider I’ve ever experienced in my life. I wish there was literally any other option but this is the only one in my area. There’s constant outages & ridiculous pricing for services I never get to use. I restart my router constantly hoping my phone or devices will connect. Hosting any get-together with friends is embarrassing when the smart tv or speakers just don’t work at all.,1.00,US,11.13.1,2023-07-22T05:54:15,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LXPlEAJgKr3r_vfKYsnrIDQ,en
Mrs.Kiddx3,Download If You Use Spectrum,"Easy to navigate, tons of options, easy access to pay the bill",Download If You Use Spectrum,"Easy to navigate, tons of options, easy access to pay the bill",5.00,US,11.13.1,2023-07-21T20:46:02,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LThOeloPbWkurJYjAUeHIFQ,"en;la"
BJ Patel,Very good experience so far.,Very easy to install and activate the service.,Very good experience so far.,Very easy to install and activate the service.,5.00,US,11.13.1,2023-07-21T19:38:19,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L-jfFPsyCdYLecMqyWnwo1g,en
Jr mick,Feed back,Great service so far no complaints,Feed back,Great service so far no complaints,4.00,US,11.13.1,2023-07-21T13:43:56,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LuT0tOdZ6IOeiac7NX5rX4w,"en;ca;fr"
AL Frazier,I need bill adjustment,"Enjoying the app but not so much the service my internet/ Wi-Fi goes out every time rain comes, I’m paying $300 month more than my light bill and I’m not using phone service that customer service won’t take off my bill",I need bill adjustment,"Enjoying the app but not so much the service my internet/ Wi-Fi goes out every time rain comes, I’m paying $300 month more than my light bill and I’m not using phone service that customer service won’t take off my bill",5.00,US,11.13.1,2023-07-21T12:58:14,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LJwE3LWpaTczgbVKLdtqJWQ,en
xXiPepeXx,It’s the Spectrum App,It does what it says it’s supposed to do.,It’s the Spectrum App,It does what it says it’s supposed to do.,4.00,US,11.13.1,2023-07-21T12:15:57,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LknR85umoUjxfEEzj2v9WvQ,"en;la"
oogej,No Cap,Y’all Igh😅,No Cap,Y’all Igh😅,5.00,US,11.13.1,2023-07-21T10:19:20,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LqtngMOx5RFVlwH06tJpxSQ,"cy;en;tl;it;lb"
L wifi company,Don’t get spectrum for your wifi trust me,As of this moment I have to type this while having no wifi because spectrum for like the 2nd time in the span of 1 month the wifi went out. Spectrum is completely not reliable please find a better wifi provider because spectrum is horrible save your money or spend it on a more reliable wifi service TRUST ME,Don’t get spectrum for your wifi trust me,As of this moment I have to type this while having no wifi because spectrum for like the 2nd time in the span of 1 month the wifi went out. Spectrum is completely not reliable please find a better wifi provider because spectrum is horrible save your money or spend it on a more reliable wifi service TRUST ME,1.00,US,11.13.1,2023-07-21T05:53:10,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LRGmjDr5ugNCLv_wAENagCg,en
Yusufali74,The easiest,Easy and quick,The easiest,Easy and quick,5.00,US,11.13.1,2023-07-21T03:27:37,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LnZA6CqKgXIWhKFa8qPUOiw,"en;la;fr"
James Loves Jesus,J Happy,Spectrum Rocks!!! Keep up the great service,J Happy,Spectrum Rocks!!! Keep up the great service,5.00,US,11.13.1,2023-07-21T01:07:14,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LhEfPiVBdsbsoPIoL-sztIQ,"en;la"
uomoefalacce,Love,I love it I love it I love it I love it yeah you know I love it all I know I love it there you know now that I know that you know that I love it I love it and you know that I love it thank you very much oh my god this is a great experience in my life. This app is changing everything in ways that I never expected.,Love,I love it I love it I love it I love it yeah you know I love it all I know I love it there you know now that I know that you know that I love it I love it and you know that I love it thank you very much oh my god this is a great experience in my life. This app is changing everything in ways that I never expected.,5.00,US,11.13.1,2023-07-20T23:57:40,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838Lm0XcAeXRBqrm_1Yv8bj1QA,en
Misstiffney,Absolutely fantastic!!,"Love this app!! You can do anything + some on it. Pay your bills & view statements for phone or internet bills, edit your plans, view your channel lineup, troubleshoot problems, change Wi-Fi name or PW, restart your modem or router, chat with someone to help you with any issues, & so much more!! It’s so easy & helpful!!",Absolutely fantastic!!,"Love this app!! You can do anything + some on it. Pay your bills & view statements for phone or internet bills, edit your plans, view your channel lineup, troubleshoot problems, change Wi-Fi name or PW, restart your modem or router, chat with someone to help you with any issues, & so much more!! It’s so easy & helpful!!",5.00,US,11.13.1,2023-07-20T23:41:07,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LWOfTsRmoXpFBVtsOgkN9JQ,en
Sirisumana,Need a switch,App works great. But I prefer to have a switch on mobile side to turn on and off roaming facility. It will help users to control their roaming features while they are abroad. And will help to prevent by unwanted changes. Thanks,Need a switch,App works great. But I prefer to have a switch on mobile side to turn on and off roaming facility. It will help users to control their roaming features while they are abroad. And will help to prevent by unwanted changes. Thanks,5.00,US,11.13.1,2023-07-20T22:37:29,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LneX84mkBzzLf9wSHzCi2BQ,en
amorgan6,4 stars,Only downside is this app doesn’t store debit cards or account numbers. So each time I have to grab my wallet etc which is a bit inconvenient. The application will let you sign up for auto pay but I still want control just in case something happens or an outage etc and I want to inquire more information prior. But overall it is a good application.,4 stars,Only downside is this app doesn’t store debit cards or account numbers. So each time I have to grab my wallet etc which is a bit inconvenient. The application will let you sign up for auto pay but I still want control just in case something happens or an outage etc and I want to inquire more information prior. But overall it is a good application.,4.00,US,11.13.1,2023-07-20T15:59:54,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L9heY_yVQRCeuB0J8Ela49A,en
Boss 1015,Pleased,"Excellent service, Easy to navigate thru mobile app. Satisfied customer. Thank you",Pleased,"Excellent service, Easy to navigate thru mobile app. Satisfied customer. Thank you",5.00,US,11.13.1,2023-07-20T15:42:21,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LBErqdSxQ8g5l2ggGHjZFGQ,"en;la"
jrpravin,Cool features good to use,Yep go for IT,Cool features good to use,Yep go for IT,5.00,US,11.13.1,2023-07-20T11:46:02,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838Lx3ur9wm36NwsTY_7D3Kqqw,en
sombra lok,Latino,Me gustaría una versión en español,Latino,Me gustaría una versión en español,4.00,US,11.13.1,2023-07-20T03:03:56,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LlE5puw8Vv1YmF7Wf7tpcJA,"es;gl"
ckbryant1964,Convenient,I love it cause it’s so convenient,Convenient,I love it cause it’s so convenient,5.00,US,11.13.1,2023-07-19T23:58:01,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LtQGGpAsAgWU83PzQIESOfw,"en;fr;oc;la;ro"
spaceeequeen,Easy access,Love this app so easy n u can see everything I’ve done on your account and get help w anything !,Easy access,Love this app so easy n u can see everything I’ve done on your account and get help w anything !,5.00,US,11.13.1,2023-07-19T23:44:25,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LiNtXLafS-dsoxvYJ6j1Jcg,en
surfnyc,The app is OK,"When I got pinged to ask my opinion and rate it, my opinion dropped.",The app is OK,"When I got pinged to ask my opinion and rate it, my opinion dropped.",2.00,US,11.13.1,2023-07-19T16:29:12,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838Lqqm_QA4WkpKLtQQrhQJeJQ,"en;af"
nickname work,Easy to use,Easy to use and navigate,Easy to use,Easy to use and navigate,5.00,US,11.13.1,2023-07-19T14:23:21,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LxHvz-GS1N6gvrC-EQF7GkA,"en;af;nn;no;ceb"
Martha4415,My grandparents have never had internet since they bought their home in 1954,"I was out shopping and for some reason the Spectrum store really drew my attention. I stepped in, signed up and 15 minutes latter I had a same day appointment for a first time installation. I did this for my grandparents they  where never much of internet, iPads , computers, and sill have a S5 Iphones….
The spectrum technician Lee was on time. It took him by himself every bit of three hours to install cable from the electricity poll to the house. I felt so bad it was in the middle of June and the temperature was in the three digits. He never complained just smiled and assured my wide eyed grandparents the job would get done by 6pm.  He currently did complete the job on time. The then local channels only tv was transformed into a RUKO smart TV and Pluto Cinema.  
They are slowly progressing over to other applications. But the look on their faces was all made possible by the staff and of course Spectrum.  Thank you  for catching them up to the 21st century… or at least some of it. Thanks for reading !",My grandparents have never had internet since they bought their home in 1954,"I was out shopping and for some reason the Spectrum store really drew my attention. I stepped in, signed up and 15 minutes latter I had a same day appointment for a first time installation. I did this for my grandparents they  where never much of internet, iPads , computers, and sill have a S5 Iphones….
The spectrum technician Lee was on time. It took him by himself every bit of three hours to install cable from the electricity poll to the house. I felt so bad it was in the middle of June and the temperature was in the three digits. He never complained just smiled and assured my wide eyed grandparents the job would get done by 6pm.  He currently did complete the job on time. The then local channels only tv was transformed into a RUKO smart TV and Pluto Cinema.  
They are slowly progressing over to other applications. But the look on their faces was all made possible by the staff and of course Spectrum.  Thank you  for catching them up to the 21st century… or at least some of it. Thanks for reading !",4.00,US,11.13.1,2023-07-19T02:00:17,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LuXeVKjPy43q8AKQ-aVguyg,en
gibiblack,Nice,5 stars,Nice,5 stars,5.00,US,11.13.1,2023-07-18T21:11:41,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LNyH-qRKAoY0zYM3qNlduew,"hr;bs;sh;en;ro"
iPhonefan 1,Battery Hog,When turning on always detect location it drains the battery. The battery doesn’t last 8 hours from fully charged.,Battery Hog,When turning on always detect location it drains the battery. The battery doesn’t last 8 hours from fully charged.,1.00,US,11.13.1,2023-07-18T19:22:21,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LtHZTHLX8ZNPaRYkSj8dTrg,en
unicornyoutuber,Installation Charge,"We were told installation charge would be waived when we initially switched from service with ATT for over 25 yrs due to service decline and excessive outages. However despite numerous calls the charge was not removed. Not only that we are charged a late charge for not paying amount in question. Not getting off to a very good start. Sincerely, Mitch & Sheri Cudd",Installation Charge,"We were told installation charge would be waived when we initially switched from service with ATT for over 25 yrs due to service decline and excessive outages. However despite numerous calls the charge was not removed. Not only that we are charged a late charge for not paying amount in question. Not getting off to a very good start. Sincerely, Mitch & Sheri Cudd",2.00,US,11.13.1,2023-07-18T19:04:35,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L9MSfOZPlnUNC34ynDhgfjQ,en
Josefin569,Rapidez,Excelente servicio,Rapidez,Excelente servicio,5.00,US,11.13.1,2023-07-18T17:34:30,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838LfQ23n0bPp0gSanreJFwwYQ,"es;gl;pt;ro;ca"
Bkbagsby,Service,"The service of spectrum just not up to par 
Might have made a mistake by switching",Service,"The service of spectrum just not up to par 
Might have made a mistake by switching",3.00,US,11.13,2023-07-18T15:26:05,False,False,40423315838,40423315838,"My Spectrum",942608209,apple,2,40423315838L0fS3MuQpx-TbE0cxLSItsA,en
